Isolate	Chromosome	Region	Start	End	Most similar known cluster	Similarity	Type	Type_broad
Ina85_182	Ina85_182_cont_12	13.1	572947	622871	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
Ina85_182	Ina85_182_cont_13	14.1	182357	245735	no_known_similarity	NA	NRPS-like	NRP
Ina85_182	Ina85_182_cont_17	18.1	1	27773	brassicicene C	22	indole	Terpene
Ina85_182	Ina85_182_cont_18	19.1	77569	109345	no_known_similarity	NA	indole	Indole
Ina85_182	Ina85_182_cont_20	20.1	150273	197550	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_00	1.1	722	32686	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_00	1.2	1370547	1472002	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_00	1.3	2455417	2522664	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_00	1.4	5994924	6061219	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_00	1.5	6486241	6577234	no_known_similarity	NA	fungal-RiPP-like	Other
Ina87T_56A	Ina87T_56A_cont_00	1.6	7182091	7243023	no_known_similarity	NA	T3PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_01	2.1	209531	266838	no_known_similarity	NA	NRPS-like	NRP
Ina87T_56A	Ina87T_56A_cont_01	2.2	437472	509088	no_known_similarity	NA	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_01	2.3	662166	721156	tenuazonic acid	75	NRPS	NRP_PKS
Ina87T_56A	Ina87T_56A_cont_01	2.4	859897	929930	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
Ina87T_56A	Ina87T_56A_cont_01	2.5	4987291	5055075	epipyriculol	58	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_01	2.6	5588890	5679875	no_known_similarity	NA	fungal-RiPP-like	Other
Ina87T_56A	Ina87T_56A_cont_02	3.1	1160250	1227020	scytalone/T3HN	60	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_02	3.2	3341116	3364979	clavaric acid	100	terpene	Terpene
Ina87T_56A	Ina87T_56A_cont_02	3.3	3943509	4052875	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
Ina87T_56A	Ina87T_56A_cont_03	4.1	769768	863475	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_03	4.2	888114	970491	no_known_similarity	NA	fungal-RiPP-like	Other
Ina87T_56A	Ina87T_56A_cont_03	4.3	1312882	1373652	no_known_similarity	NA	NRPS-like	NRP
Ina87T_56A	Ina87T_56A_cont_03	4.4	1432959	1494406	cercosporin	37	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_03	4.5	2286570	2377387	no_known_similarity	NA	fungal-RiPP-like	Other
Ina87T_56A	Ina87T_56A_cont_03	4.6	2633438	2656343	no_known_similarity	NA	terpene	Terpene
Ina87T_56A	Ina87T_56A_cont_03	4.7	2765939	2797990	no_known_similarity	NA	terpene	Terpene
Ina87T_56A	Ina87T_56A_cont_03	4.8	2807942	2876534	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_03	4.9	4177599	4209244	no_known_similarity	NA	indole	Indole
Ina87T_56A	Ina87T_56A_cont_03	4.10	4795052	4860740	no_known_similarity	NA	NRPS-like	NRP
Ina87T_56A	Ina87T_56A_cont_04	5.1	65768	92134	no_known_similarity	NA	terpene	Terpene
Ina87T_56A	Ina87T_56A_cont_04	5.2	1981281	2089914	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
Ina87T_56A	Ina87T_56A_cont_04	5.3	2098286	2168433	no_known_similarity	NA	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_04	5.4	2469893	2533735	choline	100	NRPS-like	NRP
Ina87T_56A	Ina87T_56A_cont_04	5.5	3456280	3487767	no_known_similarity	NA	indole	Indole
Ina87T_56A	Ina87T_56A_cont_04	5.6	4486633	4548645	no_known_similarity	NA	T3PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_05	6.1	49668	121481	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Ina87T_56A	Ina87T_56A_cont_05	6.2	330995	392922	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_05	6.3	1347105	1410781	no_known_similarity	NA	NRPS-like	NRP
Ina87T_56A	Ina87T_56A_cont_05	6.4	1670128	1736871	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_06	7.1	705726	788555	no_known_similarity	NA	fungal-RiPP-like	Other
Ina87T_56A	Ina87T_56A_cont_06	7.2	1002349	1062207	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_06	7.3	1274177	1405943	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
Ina87T_56A	Ina87T_56A_cont_06	7.4	2680006	2750652	no_known_similarity	NA	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_06	7.5	2787083	2852904	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Ina87T_56A	Ina87T_56A_cont_06	7.6	2998322	3058433	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_06	7.7	3146587	3224282	no_known_similarity	NA	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_06	7.8	3468529	3562252	no_known_similarity	NA	fungal-RiPP-like	Other
Ina87T_56A	Ina87T_56A_cont_06	7.9	3581654	3647754	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_07	8.1	112488	178957	no_known_similarity	NA	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_07	8.2	797567	865007	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_07	8.3	1411373	1487689	no_known_similarity	NA	NRPS	NRP
Ina87T_56A	Ina87T_56A_cont_08	9.1	604	39118	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_08	9.2	1637921	1797015	ACE1	88	NRPS,T1PKS	NRP_PKS
Ina87T_56A	Ina87T_56A_cont_08	9.3	2015350	2092404	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
Ina87T_56A	Ina87T_56A_cont_08	9.4	2220897	2286738	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_09	10.1	620466	681646	no_known_similarity	NA	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_09	10.2	797078	884329	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
Ina87T_56A	Ina87T_56A_cont_10	11.1	386990	420154	no_known_similarity	NA	terpene	Terpene
Iwa_kita	Iwa_kita_cont00	1.1	208	33851	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont00	1.2	1042548	1099079	sorangicin A	34	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont00	1.3	1988535	2045909	scytalone/T3HN	60	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont00	1.4	6420523	6486818	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
Iwa_kita	Iwa_kita_cont00	1.5	6911881	7002874	no_known_similarity	NA	fungal-RiPP-like	Other
Iwa_kita	Iwa_kita_cont00	1.6	7607824	7668756	no_known_similarity	NA	T3PKS	Polyketide
Iwa_kita	Iwa_kita_cont00	1.7	8413185	8444962	no_known_similarity	NA	indole	Indole
Iwa_kita	Iwa_kita_cont00	1.8	9359386	9406639	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont01	2.1	202414	261981	no_known_similarity	NA	NRPS-like	NRP
Iwa_kita	Iwa_kita_cont01	2.2	432460	500675	no_known_similarity	NA	NRPS,NRPS-like	NRP
Iwa_kita	Iwa_kita_cont01	2.3	643723	702725	tenuazonic acid	75	NRPS	NRP_PKS
Iwa_kita	Iwa_kita_cont01	2.4	835263	905296	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
Iwa_kita	Iwa_kita_cont01	2.5	5172320	5240105	epipyriculol	58	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont01	2.6	5779558	5870543	no_known_similarity	NA	fungal-RiPP-like	Other
Iwa_kita	Iwa_kita_cont02	3.1	1116216	1219861	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont02	3.2	2176134	2236077	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont02	3.3	2917934	2993428	no_known_similarity	NA	fungal-RiPP-like	Other
Iwa_kita	Iwa_kita_cont02	3.4	3264983	3340908	no_known_similarity	NA	NRPS	NRP
Iwa_kita	Iwa_kita_cont02	3.5	3445039	3508851	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont02	3.6	3655989	3722277	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Iwa_kita	Iwa_kita_cont02	3.7	3758249	3829329	no_known_similarity	NA	NRPS	NRP
Iwa_kita	Iwa_kita_cont02	3.8	5106452	5237426	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
Iwa_kita	Iwa_kita_cont02	3.9	5422339	5489932	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont02	3.10	5661249	5752325	no_known_similarity	NA	fungal-RiPP-like	Other
Iwa_kita	Iwa_kita_cont03	4.1	180247	234861	no_known_similarity	NA	NRPS-like	NRP
Iwa_kita	Iwa_kita_cont03	4.2	1077609	1101492	clavaric acid	100	terpene	Terpene
Iwa_kita	Iwa_kita_cont03	4.3	1669554	1776700	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
Iwa_kita	Iwa_kita_cont03	4.4	4363412	4439729	no_known_similarity	NA	NRPS	NRP
Iwa_kita	Iwa_kita_cont03	4.5	5926036	5959200	no_known_similarity	NA	terpene	Terpene
Iwa_kita	Iwa_kita_cont04	5.1	65836	92205	no_known_similarity	NA	terpene	Terpene
Iwa_kita	Iwa_kita_cont04	5.2	1984847	2093412	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
Iwa_kita	Iwa_kita_cont04	5.3	2101843	2171990	no_known_similarity	NA	NRPS	NRP
Iwa_kita	Iwa_kita_cont04	5.4	2473452	2537294	choline	100	NRPS-like	NRP
Iwa_kita	Iwa_kita_cont04	5.5	3460039	3491525	no_known_similarity	NA	indole	Indole
Iwa_kita	Iwa_kita_cont04	5.6	4492428	4554440	no_known_similarity	NA	T3PKS	Polyketide
Iwa_kita	Iwa_kita_cont04	5.7	4809523	4908656	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont04	5.8	5058976	5124701	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont05	6.1	159385	204740	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont05	6.2	482129	513774	no_known_similarity	NA	indole	Indole
Iwa_kita	Iwa_kita_cont05	6.3	1895000	1921891	no_known_similarity	NA	terpene	Terpene
Iwa_kita	Iwa_kita_cont05	6.4	2027871	2059109	no_known_similarity	NA	terpene	Terpene
Iwa_kita	Iwa_kita_cont05	6.5	3197700	3259160	cercosporin	43	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont05	6.6	3316656	3377397	no_known_similarity	NA	NRPS-like	NRP
Iwa_kita	Iwa_kita_cont05	6.7	3712143	3803137	no_known_similarity	NA	fungal-RiPP-like	Other
Iwa_kita	Iwa_kita_cont05	6.8	3824556	3914849	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont05	6.9	4016477	4083916	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont05	6.10	4696412	4768615	no_known_similarity	NA	NRPS	NRP
Iwa_kita	Iwa_kita_cont06	7.1	379491	472603	no_known_similarity	NA	fungal-RiPP-like	Other
Iwa_kita	Iwa_kita_cont06	7.2	2408597	2469346	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont06	7.3	2732856	2788514	no_known_similarity	NA	NRPS-like	NRP
Iwa_kita	Iwa_kita_cont06	7.4	3722999	3783797	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont06	7.5	3943730	4015543	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Iwa_kita	Iwa_kita_cont07	8.1	168599	227305	no_known_similarity	NA	T1PKS	Polyketide
Iwa_kita	Iwa_kita_cont07	8.2	292364	371289	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
Iwa_kita	Iwa_kita_cont07	8.3	580163	760465	ACE1	82	NRPS,T1PKS	NRP_PKS
Iwa_kita	Iwa_kita_cont07	8.4	1639112	1678572	no_known_similarity	NA	T1PKS	Polyketide
KE002	000007F	2.1	1010109	1111646	no_known_similarity	NA	T1PKS	Polyketide
KE002	000007F	2.2	2084342	2151589	no_known_similarity	NA	T1PKS	Polyketide
KE002	000007F	2.3	2825224	2916155	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000008F	7.1	653332	744206	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000008F	7.2	1183895	1243118	scytalone/T3HN	60	T1PKS	Polyketide
KE002	000008F	7.3	1851165	1955195	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
KE002	000008F	7.4	2120003	2185728	no_known_similarity	NA	T1PKS	Polyketide
KE002	000008F	7.5	2383203	2455406	no_known_similarity	NA	NRPS	NRP
KE002	000009F	15.1	743745	805757	no_known_similarity	NA	T3PKS	Polyketide
KE002	000009F	15.2	1189409	1292488	ACE1	88	NRPS,T1PKS	NRP_PKS
KE002	000009F	15.3	1296577	1362595	no_known_similarity	NA	T1PKS	Polyketide
KE002	000009F	15.4	1600323	1671463	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
KE002	000009F	15.5	1733669	1816006	no_known_similarity	NA	T1PKS	Polyketide
KE002	000004F	16.1	668518	759595	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000004F	16.2	988453	1051454	no_known_similarity	NA	T1PKS	Polyketide
KE002	000004F	16.3	1268251	1388438	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
KE002	000004F	16.4	2668234	2738891	no_known_similarity	NA	NRPS	NRP
KE002	000004F	16.5	2775327	2839011	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE002	000004F	16.6	3028741	3096774	no_known_similarity	NA	T1PKS	Polyketide
KE002	000004F	16.7	3353077	3431012	no_known_similarity	NA	NRPS	NRP
KE002	000006F	17.1	1488223	1596836	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
KE002	000006F	17.2	1617449	1685908	no_known_similarity	NA	NRPS	NRP
KE002	000006F	17.3	1991884	2055726	choline	100	NRPS-like	NRP
KE002	000006F	17.4	2985006	3016493	no_known_similarity	NA	indole	Indole
KE002	000001F	21.1	265484	317927	no_known_similarity	NA	NRPS-like	NRP
KE002	000001F	21.2	470443	540666	no_known_similarity	NA	NRPS	NRP
KE002	000001F	21.3	754194	816020	tenuazonic acid	75	NRPS	NRP_PKS
KE002	000001F	21.4	967921	1037954	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
KE002	000001F	21.5	5069495	5137280	epipyriculol	58	T1PKS	Polyketide
KE002	000001F	21.6	5694010	5784995	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000018F	25.1	264480	330923	no_known_similarity	NA	NRPS	NRP
KE002	000000F	26.1	2153153	2219448	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
KE002	000000F	26.2	2651318	2742311	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000000F	26.3	3347859	3408791	no_known_similarity	NA	T3PKS	Polyketide
KE002	000000F	26.4	5427141	5490817	no_known_similarity	NA	NRPS-like	NRP
KE002	000000F	26.5	5750352	5817094	no_known_similarity	NA	T1PKS	Polyketide
KE002	000015F	30.1	61998	93718	no_known_similarity	NA	terpene	Terpene
KE002	000003F	34.1	1011018	1061730	no_known_similarity	NA	T1PKS	Polyketide
KE002	000003F	34.2	1265291	1354220	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000003F	34.3	1694769	1758089	no_known_similarity	NA	NRPS-like	NRP
KE002	000003F	34.4	1817740	1880534	cercosporin	31	T1PKS	Polyketide
KE002	000003F	34.5	2754168	2844985	no_known_similarity	NA	fungal-RiPP-like	Other
KE002	000003F	34.6	3098001	3129239	no_known_similarity	NA	terpene	Terpene
KE002	000003F	34.7	3278248	3346840	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
KE002	000011F	35.1	600462	641016	no_known_similarity	NA	T1PKS	Polyketide
KE002	000011F	35.2	799724	871537	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE002	000019F	36.1	50516	82161	no_known_similarity	NA	indole	Indole
KE002	000016F	37.1	325753	404300	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE002	000002F	42.1	142560	197839	no_known_similarity	NA	NRPS-like	NRP
KE002	000002F	42.2	1091242	1115127	clavaric acid	100	terpene	Terpene
KE002	000002F	42.3	1706307	1815675	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
KE002	000002F	42.4	4144284	4218778	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr1_con3	3.1	1513432	1587926	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr1_con3	3.2	3916696	4026066	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
KE011	KE011_chr1_con4	4.1	537826	570533	clavaric acid	100	terpene	Terpene
KE011	KE011_chr1_con5	5.1	945789	1009439	no_known_similarity	NA	NRPS-like	NRP
KE011	KE011_chr1_con9	9.1	64603	158326	no_known_similarity	NA	fungal-RiPP-like	Other
KE011	KE011_chr1_con9	9.2	801654	860702	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr1_con9	9.3	1825328	1929667	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr2_con1	10.1	1166897	1227668	no_known_similarity	NA	T3PKS	Polyketide
KE011	KE011_chr2_con1	10.2	1797814	1923941	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
KE011	KE011_chr2_con1	10.3	2349947	2416242	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
KE011	KE011_chr2_con2	11.1	4323614	4390384	scytalone/T3HN	60	T1PKS	Polyketide
KE011	KE011_chr2_con3	12.1	139014	210164	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
KE011	KE011_chr2_con3	12.2	272002	334317	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr3_con1	14.1	926100	1017305	no_known_similarity	NA	fungal-RiPP-like	Other
KE011	KE011_chr3_con1	14.2	1551799	1619584	epipyriculol	58	T1PKS	Polyketide
KE011	KE011_chr3_con5	18.1	735784	801809	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
KE011	KE011_chr3_con5	18.2	955328	1020614	tenuazonic acid	75	NRPS	NRP_PKS
KE011	KE011_chr3_con6	19.1	95575	170157	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr3_con6	19.2	317551	380876	no_known_similarity	NA	NRPS-like	NRP
KE011	KE011_chr4_con1	23.1	75238	101625	no_known_similarity	NA	terpene	Terpene
KE011	KE011_chr4_con1	23.2	2010039	2118076	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
KE011	KE011_chr4_con1	23.3	2136623	2198228	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr4_con1	23.4	2507081	2568723	choline	100	NRPS-like	NRP
KE011	KE011_chr4_con1	23.5	3499831	3531318	no_known_similarity	NA	indole	Indole
KE011	KE011_chr4_con1	23.6	4522445	4584457	no_known_similarity	NA	T3PKS	Polyketide
KE011	KE011_chr4_con1	23.7	4973891	5139366	ACE1	88	NRPS,T1PKS	NRP_PKS
KE011	KE011_chr4_con2	24.1	22530	124704	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
KE011	KE011_chr4_con2	24.2	296559	362284	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr5_con2	26.1	75841	107486	no_known_similarity	NA	indole	Indole
KE011	KE011_chr5_con3	27.1	1363077	1392626	no_known_similarity	NA	terpene	Terpene
KE011	KE011_chr5_con3	27.2	1498616	1529854	no_known_similarity	NA	terpene	Terpene
KE011	KE011_chr5_con4	28.1	477755	540550	cercosporin	43	T1PKS	Polyketide
KE011	KE011_chr5_con4	28.2	600203	663523	no_known_similarity	NA	NRPS-like	NRP
KE011	KE011_chr5_con4	28.3	1004260	1095254	no_known_similarity	NA	fungal-RiPP-like	Other
KE011	KE011_chr5_con4	28.4	1287780	1355219	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr5_con6	30.1	6255	78458	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr6_con1	33.1	178203	253397	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr6_con1	33.2	501606	564989	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr6_con1	33.3	757888	822036	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE011	KE011_chr6_con1	33.4	858016	929114	no_known_similarity	NA	NRPS	NRP
KE011	KE011_chr6_con1	33.5	2208665	2334597	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
KE011	KE011_chr6_con2	34.1	66050	133661	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr6_con2	34.2	364870	455947	no_known_similarity	NA	fungal-RiPP-like	Other
KE011	KE011_chr7_con1	35.1	304621	397732	no_known_similarity	NA	fungal-RiPP-like	Other
KE011	KE011_chr7_con1	35.2	2320208	2386950	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr7_con1	35.3	2646478	2710584	no_known_similarity	NA	NRPS-like	NRP
KE011	KE011_chr7_con3	37.1	340771	381324	no_known_similarity	NA	T1PKS	Polyketide
KE011	KE011_chr7_con3	37.2	538238	610051	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE011	KE011_cont101	38.1	17683	84126	no_known_similarity	NA	NRPS	NRP
KE011	KE011_cont55	47.1	1	47552	no_known_similarity	NA	NRPS	NRP
KE011	KE011_cont65	54.1	577363	655910	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE200	KE200_chr1_con1	1.1	655467	734014	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
KE200	KE200_chr1_con2	2.1	1537035	1611529	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr1_con2	2.2	3934446	4041597	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
KE200	KE200_chr1_con2	2.3	4625560	4658267	clavaric acid	100	terpene	Terpene
KE200	KE200_chr1_con2	2.4	5545086	5608736	no_known_similarity	NA	NRPS-like	NRP
KE200	KE200_chr1_con3	3.1	57494	151217	no_known_similarity	NA	fungal-RiPP-like	Other
KE200	KE200_chr1_con3	3.2	783684	850702	no_known_similarity	NA	T1PKS	Polyketide
KE200	KE200_chr1_con6	6.1	219736	324076	no_known_similarity	NA	T1PKS	Polyketide
KE200	KE200_chr2_con2	10.1	1174729	1235500	no_known_similarity	NA	T3PKS	Polyketide
KE200	KE200_chr2_con2	10.2	1805680	1931801	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
KE200	KE200_chr2_con2	10.3	2357828	2424123	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
KE200	KE200_chr2_con3	11.1	2700574	2759787	scytalone/T3HN	60	T1PKS	Polyketide
KE200	KE200_chr2_con3	11.2	3319362	3423387	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
KE200	KE200_chr2_con3	11.3	3604747	3670472	no_known_similarity	NA	T1PKS	Polyketide
KE200	KE200_chr2_con3	11.4	3890024	3962227	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr2_con4	12.1	120791	191940	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
KE200	KE200_chr2_con4	12.2	253779	316091	no_known_similarity	NA	T1PKS	Polyketide
KE200	KE200_chr3_con3	17.1	3789002	3855026	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
KE200	KE200_chr3_con3	17.2	4008979	4070804	tenuazonic acid	75	NRPS	NRP_PKS
KE200	KE200_chr3_con3	17.3	4285721	4360303	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr3_con3	17.4	4508196	4571521	no_known_similarity	NA	NRPS-like	NRP
KE200	KE200_chr3_con4	18.1	29285	96946	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr4_con1	19.1	74940	106660	no_known_similarity	NA	terpene	Terpene
KE200	KE200_chr4_con2	20.1	560457	668493	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
KE200	KE200_chr4_con2	20.2	709938	771546	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr4_con2	20.3	1080409	1142054	choline	100	NRPS-like	NRP
KE200	KE200_chr4_con2	20.4	2073165	2104652	no_known_similarity	NA	indole	Indole
KE200	KE200_chr4_con2	20.5	3095885	3157897	no_known_similarity	NA	T3PKS	Polyketide
KE200	KE200_chr4_con2	20.6	3541549	3707024	ACE1	88	NRPS,T1PKS	NRP_PKS
KE200	KE200_chr5_con1	21.1	189863	221508	no_known_similarity	NA	indole	Indole
KE200	KE200_chr5_con3	23.1	16754	84539	epipyriculol	58	T1PKS	Polyketide
KE200	KE200_chr5_con3	23.2	611071	702056	no_known_similarity	NA	fungal-RiPP-like	Other
KE200	KE200_chr5_con3	23.3	3002335	3031884	no_known_similarity	NA	terpene	Terpene
KE200	KE200_chr5_con3	23.4	3137872	3169110	no_known_similarity	NA	terpene	Terpene
KE200	KE200_chr5_con4	24.1	456545	522275	cercosporin	43	T1PKS	Polyketide
KE200	KE200_chr5_con4	24.2	580820	644140	no_known_similarity	NA	NRPS-like	NRP
KE200	KE200_chr5_con4	24.3	983009	1074003	no_known_similarity	NA	fungal-RiPP-like	Other
KE200	KE200_chr5_con5	25.1	110718	178157	no_known_similarity	NA	T1PKS	Polyketide
KE200	KE200_chr6_con2	28.1	25160	91603	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr6_con3	29.1	127741	199475	no_known_similarity	NA	NRPS	NRP
KE200	KE200_chr6_con3	29.2	453510	516896	no_known_similarity	NA	T1PKS	Polyketide
